File,Ambitus (Range),Pitch Entropy,Motif Repetition (3-gram),Melodic Contour - Ascending,Melodic Contour - Descending,Melodic Contour - Repeated,Tonal Compliance,Intervals - Mean,Intervals - Std,Note Duration Distribution (0.5),Note Duration Distribution (1.0),Note Duration Distribution (2.0),Note Duration Distribution (0.25)
melody 4.mid,24,3.5537134197551654,0.21739130434782608,35,12,0,1.0,5.361702127659575,4.835267300648319,0.5,0.25,0.25,
melody 5.mid,24,3.6825605804076895,0.19444444444444445,25,12,0,1.0,7.4324324324324325,5.673744845316801,0.5526315789473685,0.05263157894736842,0.3157894736842105,0.07894736842105263
melody1.mid,48,4.575452217366276,0.058823529411764705,40,19,10,1.0,8.44927536231884,8.717026869633631,0.7571428571428571,0.22857142857142856,0.014285714285714285,
melody2.mid,10,2.8054066313306083,0.15217391304347827,40,7,0,1.0,2.893617021276596,3.0052014663458584,0.5,0.25,0.25,
melody3.mid,29,3.762046753088499,0.1956521739130435,32,15,0,1.0,7.74468085106383,5.962535820335359,0.5,0.16666666666666666,0.1875,0.14583333333333334
