File,Chord Coverage,Chord Entropy,Tonal Compliance,Harmonic Rhythm,Ambitus
melody 1.mid,0.75,4.053508854797678,1.0,0.4791666666666667,32
melody 4.mid,0.75,4.053508854797678,1.0,0.4791666666666667,36
melody2.mid,0.7692307692307693,4.23890125660263,1.0,0.5208333333333334,56
melody3.mid,0.875,4.334962500721156,1.0,0.4791666666666667,44
melody5.mid,0.6428571428571429,3.9946803684089085,1.0,0.5625,44
